%time,field.dynamixel_state0.name,field.dynamixel_state0.id,field.dynamixel_state0.present_position,field.dynamixel_state0.present_velocity,field.dynamixel_state0.present_current
1599990680360806379,one,1,-6530,42,0
1599990680424791638,one,1,-6486,42,0
1599990680456737269,one,1,-6464,42,0
1599990680520841062,one,1,-6420,42,0
1599990680552829311,one,1,-6398,42,0
1599990680616704625,one,1,-6354,42,0
1599990680648608650,one,1,-6332,42,0
1599990680712820763,one,1,-6288,42,0
1599990680744779455,one,1,-6266,42,0
1599990680808757341,one,1,-6224,42,0
1599990680872803970,one,1,-6179,42,0
1599990680904707882,one,1,-6158,42,0
1599990680968753561,one,1,-6113,42,0
1599990681000643817,one,1,-6090,42,0
1599990681064723444,one,1,-6046,42,0
1599990681096765744,one,1,-6025,42,0
1599990681160894429,one,1,-5980,42,0
1599990681224662878,one,1,-5936,42,0
1599990681256718438,one,1,-5913,42,0
1599990681320654912,one,1,-5869,42,0
1599990681352717580,one,1,-5847,42,0
1599990681416694477,one,1,-5804,42,0
1599990681448780230,one,1,-5782,42,0
1599990681512766191,one,1,-5738,42,0
1599990681544720038,one,1,-5715,42,0
1599990681608667219,one,1,-5671,42,0
1599990681672750699,one,1,-5627,42,0
1599990681704632600,one,1,-5605,42,0
1599990681768685706,one,1,-5560,42,0
1599990681800643545,one,1,-5538,42,0
1599990681864592111,one,1,-5492,42,0
1599990681896573843,one,1,-5470,42,0
1599990681960680469,one,1,-5426,42,0
1599990682024662452,one,1,-5381,42,0
1599990682056541127,one,1,-5358,42,0
1599990682120630226,one,1,-5314,42,0
1599990682152854856,one,1,-5292,42,0
1599990682216591973,one,1,-5248,43,0
1599990682248554609,one,1,-5226,43,0
1599990682312666718,one,1,-5182,43,0
1599990682344563272,one,1,-5160,43,0
1599990682408546165,one,1,-5116,43,0
1599990682472416886,one,1,-5073,43,0
1599990682504365541,one,1,-5050,43,-16
1599990682568405883,one,1,-5030,28,-9
1599990682600406694,one,1,-5028,14,-4
1599990682664559300,one,1,-5033,0,-4
1599990682696596093,one,1,-5038,-4,-4
1599990682760678046,one,1,-5051,-10,-4
1599990682824640949,one,1,-5066,-13,-4
1599990682856598611,one,1,-5074,-13,-4
1599990682920568824,one,1,-5090,-14,-4
1599990682952484943,one,1,-5099,-14,-4
1599990683016580692,one,1,-5115,-14,-4
1599990683048577675,one,1,-5123,-14,-4
1599990683112516860,one,1,-5140,-14,-4
1599990683144525250,one,1,-5148,-14,-4
1599990683208242246,one,1,-5164,-14,-4
1599990683272410878,one,1,-5181,-15,-4
1599990683304539522,one,1,-5189,-15,-4
1599990683368412965,one,1,-5205,-15,-3
1599990683400488483,one,1,-5213,-15,-3
1599990683464410086,one,1,-5230,-15,-3
1599990683496441865,one,1,-5237,-15,-3
1599990683560437636,one,1,-5253,-15,-3
1599990683624508293,one,1,-5270,-15,-3
1599990683656417088,one,1,-5277,-15,-3
1599990683720545100,one,1,-5292,-15,-3
1599990683752810225,one,1,-5300,-15,-3
1599990683816471349,one,1,-5316,-15,-3
1599990683848454806,one,1,-5324,-15,-3
1599990683912407785,one,1,-5340,-15,-3
1599990683944507112,one,1,-5348,-15,-3
1599990684008548437,one,1,-5364,-15,-3
1599990684072493594,one,1,-5379,-15,-3
1599990684104443567,one,1,-5387,-15,-3
1599990684168493634,one,1,-5403,-15,-3
1599990684200530000,one,1,-5412,-15,-3
1599990684264409309,one,1,-5428,-15,-3
1599990684296487883,one,1,-5436,-15,-3
1599990684360835312,one,1,-5451,-15,-3
1599990684424428293,one,1,-5467,-15,-3
1599990684456611631,one,1,-5475,-15,-3
1599990684520379186,one,1,-5491,-15,-3
1599990684552448908,one,1,-5499,-15,-3
1599990684616456965,one,1,-5515,-15,-3
1599990684648383015,one,1,-5522,-15,-3
1599990684712388974,one,1,-5539,-15,-3
1599990684744419425,one,1,-5547,-15,-3
1599990684808384186,one,1,-5562,-15,-3
1599990684872383156,one,1,-5578,-15,-3
1599990684904445096,one,1,-5586,-15,-3
1599990684968322116,one,1,-5602,-15,-3
1599990685000389889,one,1,-5610,-15,-3
1599990685064383243,one,1,-5625,-14,-3
1599990685096388071,one,1,-5633,-14,-3
1599990685160478301,one,1,-5650,-14,-3
1599990685224418313,one,1,-5666,-14,-3
1599990685256383855,one,1,-5674,-14,-3
1599990685320464977,one,1,-5690,-14,-3
1599990685351868067,one,1,-5698,-14,-3
1599990685416444329,one,1,-5714,-14,-3
1599990685448202664,one,1,-5723,-14,-3
1599990685512076208,one,1,-5732,-12,4
1599990685544444984,one,1,-5726,-3,5
1599990685608494967,one,1,-5704,16,2
1599990685672371699,one,1,-5673,27,0
1599990685704264333,one,1,-5656,30,0
1599990685768062667,one,1,-5620,33,0
1599990685800220768,one,1,-5601,34,0
1599990685864382043,one,1,-5564,35,0
1599990685896267418,one,1,-5546,35,0
1599990685960467353,one,1,-5507,35,0
1599990686024288277,one,1,-5470,36,0
1599990686056326551,one,1,-5451,36,0
1599990686120317352,one,1,-5414,36,0
1599990686152289783,one,1,-5395,36,0
1599990686216300485,one,1,-5358,36,0
1599990686248343489,one,1,-5340,36,0
1599990686312320902,one,1,-5302,36,0
1599990686344231782,one,1,-5284,36,0
1599990686408534975,one,1,-5248,36,0
1599990686472352116,one,1,-5210,36,0
1599990686504252289,one,1,-5192,36,0
1599990686568651125,one,1,-5154,36,0
1599990686600330519,one,1,-5135,36,0
1599990686664255068,one,1,-5098,36,0
1599990686696231271,one,1,-5080,36,0
1599990686760237352,one,1,-5043,36,0
1599990686824229881,one,1,-5006,36,0
1599990686856174402,one,1,-4988,36,0
1599990686920221583,one,1,-4952,36,0
1599990686952246122,one,1,-4934,36,0
1599990687016147519,one,1,-4897,36,0
1599990687048128307,one,1,-4879,36,0
1599990687112184758,one,1,-4843,36,0
1599990687144151970,one,1,-4825,36,0
1599990687208257854,one,1,-4789,35,0
1599990687272305255,one,1,-4752,35,0
1599990687304274903,one,1,-4734,35,0
1599990687368225328,one,1,-4696,35,0
1599990687400295416,one,1,-4678,35,0
1599990687464194709,one,1,-4641,35,0
1599990687496236021,one,1,-4622,35,0
1599990687560123212,one,1,-4585,35,0
1599990687595276745,one,1,-4566,35,0
1599990687656236507,one,1,-4529,35,0
1599990687720145532,one,1,-4492,35,0
1599990687752153797,one,1,-4473,35,0
1599990687816201951,one,1,-4436,35,0
1599990687848217621,one,1,-4418,35,0
1599990687912137486,one,1,-4382,35,0
1599990687944079861,one,1,-4363,35,0
1599990688008194353,one,1,-4325,35,0
1599990688072252350,one,1,-4288,35,0
1599990688104073654,one,1,-4269,35,0
1599990688168192810,one,1,-4231,35,0
1599990688200097266,one,1,-4213,35,0
1599990688264145668,one,1,-4176,35,0
1599990688296120918,one,1,-4157,35,0
1599990688360063950,one,1,-4118,35,0
1599990688424110460,one,1,-4080,35,0
